taxonomy_id,name
2735,streptomycetaceae
434,xanthomonadaceae
272,moraxellaceae
1983,paenibacillaceae
2032,lactobacillaceae
3250,cytophagaceae
8391,didymosphaeriaceae
5908,aspergillaceae
19959,enterobacteriaceae
2707,pseudonocardiaceae
280,pseudomonadaceae
2645,micromonosporaceae
1255,chromobacteriaceae
1900,bacillaceae
1217,burkholderiaceae
3034,flavobacteriaceae
1168,oxalobacteraceae
7496,halosphaeriaceae
6427,pseudeurotiaceae
1183,comamonadaceae
1066,sphingomonadaceae
734,phyllobacteriaceae
501,oceanospirillaceae
546,alteromonadaceae
19992,chitinophagaceae
2758,thermomonosporaceae
564,pseudoalteromonadaceae
568,colwelliaceae
2834,patulibacteraceae
908,rhodobacteraceae
862,rhodospirillaceae
19928,sinobacteraceae
20985,mycobacteriaceae
1115,kiloniellaceae
708,hyphomicrobiaceae
2632,gordoniaceae
823,acetobacteraceae
3173,sphingobacteriaceae
527,hahellaceae
3157,cryomorphaceae
2692,nocardioidaceae
488,halomonadaceae
1994,alicyclobacillaceae
1487,fimbriimonadaceae
2741,streptosporangiaceae
590,vibrionaceae
7829,coniochaetaceae
7919,amphisphaeriaceae
8305,pleosporaceae
7006,cladosporiaceae
749,rhizobiaceae
200,herpetosiphonaceae
2265,ruminococcaceae
349,morganellaceae
1513,catenulisporaceae
2765,nocardiopsaceae
2540,microbacteriaceae
364,legionellaceae
7699,chaetomiaceae
2027,streptococcaceae
2115,clostridiaceae
2674,propionibacteriaceae
2458,bifidobacteriaceae
21611,cystobacteraceae
3185,bacteroidaceae
2467,micrococcaceae
7741,cephalothecaceae
6370,vibrisseaceae
698,bradyrhizobiaceae
2777,cryptosporangiaceae
755,brucellaceae
20135,mucoraceae
7656,diaporthaceae
8347,didymellaceae
4362,erythrobasidiaceae
2619,corynebacteriaceae
1999,thermoactinomycetaceae
2041,enterococcaceae
5896,trichocomaceae
2162,lachnospiraceae
1750,akkermansiaceae
2207,peptostreptococcaceae
1239,neisseriaceae
7073,melanommataceae
4627,pyronemataceae
7261,hypocreaceae
5888,phaeomoniellaceae
8262,phaeosphaeriaceae
7867,xylariaceae
7577,plectosphaerellaceae
7254,trichosphaeriaceae
6784,aplosporellaceae
21651,aureobasidiaceae
1646,desulfovibrionaceae
1893,staphylococcaceae
1147,alcaligenaceae
331,pectobacteriaceae
3277,flammeovirgaceae
10721,piperaceae
1521,actinopolysporaceae
540,endozoicomonadaceae
47437,bradymonadaceae
645,cellvibrionaceae
1846,chitinophagaceae
5301,lycoperdaceae
2490,cellulomonadaceae
12640,theaceae
531,saccharospirillaceae
1516,glycomycetaceae
1547,nakamurellaceae
2636,tsukamurellaceae
1274,rhodocyclaceae
1507,segniliparaceae
2436,thermosporotrichaceae
4434,mucoraceae
2772,frankiaceae
286,enterobacteriaceae
337,yersiniaceae
2628,nocardiaceae
323,erwiniaceae
250,francisellaceae
345,hafniaceae
607,aeromonadaceae
785,methylobacteriaceae
2518,intrasporangiaceae
321,thorselliaceae
1554,parviterribacteraceae
358,budviciaceae
1974,listeriaceae
2994,myxococcaceae
3008,polyangiaceae
2621,mycobacteriaceae
262,thiotrichaceae
2511,brevibacteriaceae
2999,archangiaceae
798,xanthobacteraceae
676,sinobacteraceae
905,geminicoccaceae
1727,campylobacteraceae
2781,actinospicaceae
1794,gemmataceae
3311,hymenobacteraceae
