taxonomy_id,name
209,actinobacteria
48,gammaproteobacteria
1891,bacilli
1835,cytophagia
5672,dothideomycetes
4707,eurotiomycetes
103,betaproteobacteria
3030,flavobacteriia
5738,sordariomycetes
4722,leotiomycetes
23,alphaproteobacteria
3171,sphingobacteriia
1552,thermoleophilia
1485,fimbriimonadia
198,chloroflexia
1452,clostridia
1297,deltaproteobacteria
1831,bacteroidia
3943,cystobasidiomycetes
1435,verrucomicrobiae
4086,pezizomycetes
1844,chitinophagia
3919,agaricomycetes
1494,ktedonobacteria
3816,mucoromycetes
1301,epsilonproteobacteria
1775,planctomycetia
