taxonomy_id,name
2736,streptomyces
436,xanthomonas
273,acinetobacter
1987,cohnella
2034,lactobacillus
3255,flexibacter
8399,paraconiothyrium
5911,penicillium
20011,pantoea
2712,streptoalloteichus
281,pseudomonas
2647,micromonospora
1619,chromobacterium
1902,bacillus
1222,pandoraea
3045,bergeyella
3035,flavobacterium
1180,glaciimonas
1984,paenibacillus
2723,lentzea
1171,janthinobacterium
21213,periconia
6432,pseudeurotium
1189,hydrogenophaga
1068,sphingomonas
20657,raoultella
3053,salegentibacter
21062,erwinia
21179,pontibacter
20453,cellvibrio
3070,aquimarina
3049,tenacibaculum
3061,ulvibacter
3068,winogradskyella
3052,zobellia
3095,zunongwangia
1185,acidovorax
738,aquamicrobium
3116,hyunsoonleella
503,marinomonas
20195,spongiibacter
3063,robiginitalea
2716,actinokineospora
2646,actinoplanes
2708,amycolatopsis
19993,chitinophaga
48224,sebekia
2759,actinomadura
565,pseudoalteromonas
570,thalassomonas
1218,burkholderia
1072,sphingobium
2835,patulibacter
939,loktanella
874,tistrella
20989,pectobacterium
2737,kitasatospora
20992,hydrocarboniphaga
20986,hoyosella
3107,salinimicrobium
3108,zeaxanthinibacter
1913,oceanobacillus
1116,kiloniella
3082,nonlabens
720,maritalea
1178,undibacterium
2633,gordonia
825,acetobacter
1172,telluria
3043,chryseobacterium
20371,internal_standards
20092,photorhabdus
20255,dickeya
3175,pedobacter
1188,variovorax
20295,serratia
826,gluconobacter
1182,pseudoduganella
950,phaeobacter
1223,cupriavidus
528,hahella
435,lysobacter
20916,fluviicola
20900,terrimonas
19929,solimonas
2700,kribbella
1263,andreprevotia
3251,flectobacillus
1175,collimonas
909,paracoccus
1985,brevibacillus
1589,zymobacter
1996,tumebacillus
20123,niabella
1488,fimbriimonas
20101,filimonas
2668,catelliglobosispora
3115,soonwooa
878,nisaea
3130,sinomicrobium
19960,escherichia
2745,microbispora
591,photobacterium
2728,sciscionella
7830,coniochaeta
20075,enterobacter
20407,pestalotiopsis
8308,curvularia
7007,cladosporium
1591,rhizobium
201,herpetosiphon
2273,faecalibacterium
19989,xenorhabdus
355,photorhabdus
2717,actinosynnema
2714,saccharothrix
1514,catenulispora
2766,nocardiopsis
2744,streptosporangium
2749,nonomuraea
2542,curtobacterium
2699,actinopolymorpha
365,legionella
20022,epicoccum
7700,chaetomium
2028,streptococcus
2117,clostridium
2675,propionibacterium
2459,bifidobacterium
21612,cystobacter
3186,bacteroides
2468,micrococcus
7743,phialemonium
6371,vibrissea
20789,salinarimonas
2778,cryptosporangium
438,stenotrophomonas
1228,paraburkholderia
757,ochrobactrum
20136,mucor
2544,microbacterium
7657,diaporthe
5909,aspergillus
8358,allophoma
21869,sporobolomyces
875,inquilinus
2620,corynebacterium
1229,caballeronia
2009,kroppenstedtia
2010,hazenella
2015,risungbinella
2006,desmospora
2042,enterococcus
5901,sagenomella
2176,dorea
1751,akkermansia
2208,peptostreptococcus
1242,neisseria
7086,alpinaria
21630,micronematobotrys
7263,trichoderma
5890,neophaeomoniella
5897,talaromyces
8275,neosetophoma
7882,anthostomella
8380,microsphaeropsis
7579,gibellulopsis
7256,khuskia
