taxonomy_id,name
2734,streptomycetales
433,xanthomonadales
49,pseudomonadales
1892,bacillales
2026,lactobacillales
1836,cytophagales
6158,pleosporales
5895,eurotiales
19958,enterobacteriales
2706,pseudonocardiales
2644,micromonosporales
1238,neisseriales
1146,burkholderiales
3031,flavobacteriales
6474,microascales
1065,sphingomonadales
85,rhizobiales
487,oceanospirillales
545,alteromonadales
3172,sphingobacteriales
2446,actinomycetales
2740,streptosporangiales
1553,solirubrobacterales
907,rhodobacterales
822,rhodospirillales
1114,kiloniellales
1506,corynebacteriales
2673,propionibacteriales
1486,fimbriimonadales
589,vibrionales
7828,coniochaetales
6539,xylariales
6150,capnodiales
199,herpetosiphonales
2114,clostridiales
285,enterobacterales
1512,catenulisporales
1503,micrococcales
363,legionellales
7690,sordariales
2457,bifidobacteriales
1621,myxococcales
1832,bacteroidales
6187,helotiales
1509,frankiales
20134,mucorales
6487,diaporthales
4361,erythrobasidiales
1436,verrucomicrobiales
4087,pezizales
7260,hypocreales
5637,phaeomoniellales
7566,glomerellales
7253,trichosphaeriales
6108,botryosphaeriales
6147,dothideales
1645,desulfovibrionales
10714,piperales
1520,actinopolysporales
47436,bradymonadales
644,cellvibrionales
1845,chitinophagales
4202,agaricales
12010,ericales
1515,glycomycetales
1546,nakamurellales
1273,rhodocyclales
2433,ktedonobacterales
3817,mucorales
249,thiotrichales
600,aeromonadales
74,nevskiales
1305,campylobacterales
1776,planctomycetales
