adduct_id,adduct,multiplier,offset,charge,Mode,M (mz = 200),mz (M = 200),base,intense,priority
1,2MpACNpNa,2,64.016321,1,POSITIVE,67.9918395,464.016321,FALSE,FALSE,1
2,2MpACNpH,2,42.033826,1,POSITIVE,78.983087,442.033826,FALSE,FALSE,1
3,2MpK,2,38.963707,1,POSITIVE,80.5181465,438.963707,FALSE,FALSE,1
4,2MpNa,2,22.989771,1,POSITIVE,88.5051145,422.989771,FALSE,FALSE,2
5,2MpNH4,2,18.033823,1,POSITIVE,90.9830885,418.033823,FALSE,FALSE,2
6,2MpH,2,1.007276,1,POSITIVE,99.496362,401.007276,FALSE,FALSE,3
7,Mp2ACNpH,1,83.060376,1,POSITIVE,116.939624,283.060376,FALSE,FALSE,1
8,MpDMSOpH,1,79.02122,1,POSITIVE,120.97878,279.02122,FALSE,FALSE,1
9,Mp2KmH,1,76.91904,1,POSITIVE,123.08096,276.91904,FALSE,FALSE,1
10,MpACNpNa,1,64.016321,1,POSITIVE,135.983679,264.016321,FALSE,FALSE,1
11,MpIPpH,1,61.06534,1,POSITIVE,138.93466,261.06534,FALSE,FALSE,1
12,Mp2NamH,1,44.97116,1,POSITIVE,155.02884,244.97116,FALSE,FALSE,1
13,MpACNpH,1,42.033826,1,POSITIVE,157.966174,242.033826,FALSE,FALSE,1
14,MpK,1,38.963707,1,POSITIVE,161.036293,238.963707,FALSE,FALSE,2
15,MpCH3OHpH,1,33.033489,1,POSITIVE,166.966511,233.033489,FALSE,FALSE,1
16,2Mp3H2Op2H,2,56.046247,2,POSITIVE,171.9768765,228.0231235,FALSE,FALSE,1
17,MpNa,1,22.989771,1,POSITIVE,177.010229,222.989771,TRUE,TRUE,3
18,MpNH4,1,18.033823,1,POSITIVE,181.966177,218.033823,FALSE,TRUE,3
19,MpH,1,1.007276,1,POSITIVE,198.992724,201.007276,TRUE,TRUE,3
20,Mp3ACNp2H,1,125.094202,2,POSITIVE,274.905798,162.547101,FALSE,FALSE,1
21,Mp2ACNp2H,1,84.067652,2,POSITIVE,315.932348,142.033826,FALSE,FALSE,1
22,MpIPpNapH,1,84.05511,2,POSITIVE,315.94489,142.027555,FALSE,FALSE,1
23,Mp2Na,1,45.979542,2,POSITIVE,354.020458,122.989771,FALSE,FALSE,2
24,MpACNp2H,1,43.041102,2,POSITIVE,356.958898,121.520551,FALSE,FALSE,1
25,MpHpK,1,39.970983,2,POSITIVE,360.029017,119.9854915,FALSE,FALSE,1
26,MpHpNH4,1,38.082198,2,POSITIVE,361.917802,119.041099,FALSE,FALSE,1
27,MpHpNa,1,23.997047,2,POSITIVE,376.002953,111.9985235,FALSE,FALSE,1
28,Mp2H,1,2.014552,2,POSITIVE,397.985448,101.007276,TRUE,TRUE,3
29,Mp2KpH,1,78.934689,3,POSITIVE,521.065311,92.97822967,FALSE,FALSE,1
30,Mp3Na,1,68.969313,3,POSITIVE,531.030687,89.65643767,FALSE,FALSE,2
31,MpHp2Na,1,46.9868301,3,POSITIVE,553.0131699,82.32894337,FALSE,FALSE,1
32,Mp2HpNa,1,25.0043229,3,POSITIVE,574.9956771,75.00144097,FALSE,FALSE,1
33,Mp3H,1,3.021828,3,POSITIVE,596.978172,67.67394267,TRUE,TRUE,3
