peak_id,phylum_score,class_score,order_score,family_score,genus_score
1310723,1.0,1.0,1.0,0.0,0.0
1310726,,,,,
671778,0.0,0.0,0.0,0.0,0.0
1327140,0.4,0.4,0.4,0.0,0.0
671777,,,,,
688179,0.18,0.12,0.12,0.0,0.0
106558,0.05,0.05,0.05,0.0,0.0
868422,0.25,0.25,0.25,0.0,0.0
1466445,,,,,
1466446,0.17,0.0,0.0,0.0,0.0
1269838,0.5,0.5,0.5,0.0,0.0
630895,0.07,0.05,0.05,0.0,0.0
753780,0.16,0.09,0.09,0.0,0.0
696436,,,,,
1327228,0.0,0.0,0.0,0.0,0.0
688259,0.04,0.04,0.04,0.0,0.0
106634,0.5,0.5,0.5,0.0,0.0
1032334,0.13,0.08,0.08,0.0,0.0
1187986,0.5,0.5,0.5,0.0,0.0
802967,0.18,0.05,0.05,0.04,0.02
1327264,0.0,0.0,0.0,0.0,0.0
360614,0.2,0.12,0.12,0.02,0.02
106662,0.5,0.5,0.5,0.0,0.0
1220777,1.0,1.0,1.0,0.0,0.0
1188014,0.5,0.5,0.5,0.0,0.0
1310898,0.21,0.11,0.11,0.0,0.0
688318,0.21,0.03,0.03,0.03,0.0
614596,0.29,0.29,0.29,0.0,0.0
745687,0.29,0.2,0.2,0.0,0.0
106717,0.14,0.14,0.14,0.0,0.0
106724,0.17,0.04,0.04,0.0,0.0
1237222,1.0,1.0,1.0,0.0,0.0
1196267,0.4,0.2,0.2,0.0,0.0
1327340,,,,,
1269999,0.5,0.5,0.5,0.0,0.0
688372,0.06,0.02,0.02,0.0,0.0
1155319,0.0,0.0,0.0,0.0,0.0
1237242,1.0,1.0,1.0,0.0,0.0
1163517,0.11,0.02,0.02,0.0,0.0
1319166,0.58,0.5,0.5,0.0,0.0
794880,0.2,0.2,0.2,0.0,0.0
794881,,,,,
1319172,0.08,0.03,0.03,0.0,0.0
1327365,0.0,0.0,0.0,0.0,0.0
721161,0.05,0.05,0.05,0.0,0.0
1319188,0.09,0.05,0.05,0.0,0.0
786709,0.19,0.15,0.15,0.0,0.0
1032468,0.09,0.04,0.04,0.0,0.0
1327383,1.0,1.0,1.0,0.0,0.0
688405,0.09,0.07,0.07,0.0,0.0
1188159,0.07,0.07,0.07,0.0,0.0
835904,0.26,0.21,0.21,0.0,0.0
1319237,0.08,0.04,0.04,0.0,0.0
991562,0.17,0.09,0.09,0.0,0.0
1188182,0.33,0.33,0.33,0.0,0.0
667640,0.1,0.1,0.1,0.0,0.0
106852,0.1,0.1,0.1,0.0,0.0
1327467,,,,,
672110,,,,,
1311089,0.28,0.17,0.17,0.0,0.0
672113,,,,,
672115,,,,,
1155447,0.25,0.25,0.25,0.0,0.0
803192,0.0,0.0,0.0,0.0,0.0
106868,0.14,0.08,0.08,0.0,0.0
1311102,0.14,0.06,0.06,0.0,0.0
683930,,,,,
1319296,0.21,0.11,0.11,0.0,0.0
1335680,0.0,0.0,0.0,0.0,0.0
1180036,0.0,0.0,0.0,0.0,0.0
1221013,0.0,0.0,0.0,0.0,0.0
1155500,0.33,0.33,0.33,0.0,0.0
795059,1.0,1.0,1.0,0.0,0.0
795061,0.0,0.0,0.0,0.0,0.0
1319361,0.05,0.04,0.04,0.0,0.0
1335760,0.15,0.1,0.1,0.0,0.0
1360337,0.5,0.5,0.5,0.0,0.0
795105,1.0,1.0,1.0,0.0,0.0
795106,,,,,
795104,0.17,0.17,0.17,0.0,0.0
1180146,0.5,0.33,0.33,0.0,0.0
1327606,0.0,0.0,0.0,0.0,0.0
1352182,0.12,0.05,0.05,0.0,0.0
1352195,0.1,0.05,0.05,0.0,0.0
1319430,0.85,0.55,0.55,0.05,0.05
1286663,0.33,0.33,0.33,0.0,0.0
623120,0.12,0.11,0.11,0.0,0.0
1352209,0.09,0.05,0.05,0.0,0.0
1352230,0.08,0.04,0.04,0.0,0.0
1237555,0.25,0.25,0.25,0.0,0.0
1180232,0.5,0.5,0.5,0.0,0.0
1237584,0.25,0.0,0.0,0.0,0.0
623185,0.1,0.07,0.07,0.0,0.0
1327738,0.0,0.0,0.0,0.0,0.0
1229460,,,,,
1221283,0.23,0.15,0.15,0.0,0.0
754348,0.83,0.67,0.67,0.0,0.0
1319614,0.12,0.07,0.07,0.0,0.0
107198,0.14,0.14,0.14,0.0,0.0
1221322,0.22,0.12,0.12,0.0,0.0
762582,0.14,0.05,0.05,0.02,0.02
1360605,0.5,0.5,0.5,0.0,0.0
1336030,0.2,0.2,0.2,0.0,0.0
688872,0.1,0.08,0.08,0.0,0.0
639741,0.02,0.02,0.02,0.0,0.0
1360640,0.5,0.5,0.5,0.0,0.0
803587,0.11,0.05,0.05,0.0,0.0
688903,0.06,0.04,0.04,0.0,0.0
1155898,0.33,0.17,0.17,0.0,0.0
1352510,0.8,0.8,0.8,0.0,0.0
123728,0.19,0.06,0.06,0.0,0.0
1311569,,,,,
1311570,,,,,
656222,0.14,0.08,0.08,0.0,0.0
1180516,1.0,1.0,1.0,0.0,0.0
779117,0.11,0.05,0.05,0.02,0.02
1180535,0.25,0.25,0.25,0.0,0.0
705407,0.04,0.04,0.04,0.0,0.0
705412,0.1,0.06,0.06,0.0,0.0
1188745,0.06,0.04,0.04,0.0,0.0
1270675,0.09,0.05,0.05,0.0,0.0
1213336,,,,,
697250,0.07,0.07,0.07,0.0,0.0
648102,0.08,0.05,0.05,0.0,0.0
1467316,,,,,
1336257,0.5,0.5,0.5,0.0,0.0
107459,0.06,0.02,0.02,0.0,0.0
1336274,0.5,0.5,0.5,0.0,0.0
1336292,0.5,0.5,0.5,0.0,0.0
1319912,0.86,0.71,0.71,0.0,0.0
705528,0.07,0.04,0.04,0.0,0.0
1328121,0.0,0.0,0.0,0.0,0.0
1336316,0.25,0.25,0.25,0.0,0.0
705561,0.13,0.07,0.07,0.0,0.0
680988,0.08,0.03,0.03,0.0,0.0
1336358,0.0,0.0,0.0,0.0,0.0
214056,0.0,0.0,0.0,0.0,0.0
214062,0.0,0.0,0.0,0.0,0.0
1467438,0.0,0.0,0.0,0.0,0.0
1287222,0.13,0.03,0.03,0.0,0.0
640067,0.07,0.07,0.07,0.0,0.0
623709,0.15,0.12,0.12,0.0,0.0
705640,0.07,0.04,0.04,0.0,0.0
